login,password,imie,nazwisko,pesel,pensja_godzina,stanowisko
2442323,1231231,1231321,1231231,123132,20 zl/g,Hydraulik
wewe,wewe,wewe,wewe,2323,22 zl/g,Kierowca
1223232,123123,2123,123123,123123,20 zl/g,Hydraulik
1223232232323,123123,2123,123123,123123,20 zl/g,Hydraulik
23232www,232,2222ewe,wwew,232332,20 zl/g,Hydraulik
wqeqew23123,123123,1232,3232,2323,22 zl/g,Kierowca
wqeqew231233,123123,1232,3232,2323,22 zl/g,Kierowca
wqeqew2312334,123123,1232,3232,2323,22 zl/g,Kierowca
wewew,wewewe,wewewwew,wewe,23232,19 zl/g,Sprzataczka
wewew2,wewewe,wewewwew,wewe,23232,19 zl/g,Sprzataczka
wewew23,wewewe,wewewwew,wewe,23232,19 zl/g,Sprzataczka
wewe23,we232323232323,232322323,232323232232,23232232322,20 zl/g,Hydraulik
whiwejiowe,23232323,Andrii,NieAndrii,21111111111,19 zl/g,Sprzataczka
super_devo4ka228,123465,Masha,Monitor,7205557,20 zl/g,Hydraulik
2323,23232,2323,232,32323232323,22 zl/g,Kierowca
